ID,default
5,0.39
7,0
17,0.33
20,0.12
24,0.1
31,0.35
42,0.01
46,0.1
62,0.29
63,0.87
67,0.56
73,0.06
74,0.11
79,0.02
80,0.31
89,0.15
90,0.82
94,0.07
98,0.01
101,0.04
104,0.48
106,0.23
109,0.12
111,0.05
113,0.96
117,0.06
118,0.65
119,0.03
122,0.25
123,0.33
126,0.38
136,0.3
137,0.01
148,0.24
149,0.52
151,0.16
153,0.2
155,0.16
156,0.03
157,0.08
158,0.02
161,0.69
164,0.09
166,0.91
167,0
170,0.04
172,0.04
176,0.77
178,0.61
189,0.17
192,0.89
195,0.17
196,0.65
202,0.26
203,0.03
206,0.44
219,0.05
220,0.2
224,0.02
229,0.48
234,0.95
245,0.47
246,0.11
259,0.06
263,0.09
265,0.2
267,0.37
276,0.11
278,0.07
279,0.03
288,0
289,0.83
294,0.14
302,0.58
305,0.06
307,0.02
309,0.97
313,0.47
320,0.16
326,0.15
338,0.15
349,0.07
352,0.39
358,0.03
365,0.06
366,0.31
367,0
368,0.41
372,0.36
374,0.8
378,0.04
384,0.2
387,0.23
394,0.01
398,0.03
405,0.58
410,0.11
413,0.18
419,0.03
421,0.69
425,0
426,0.12
443,0.04
445,0.12
452,0.7
453,0.25
454,0.04
457,0.66
462,0.24
463,0.01
467,0.03
480,0
486,0.03
489,0.16
490,0.05
491,0.11
492,0.79
493,0.13
494,0.18
498,0.11
503,0.11
508,0.17
509,0.12
511,0.16
512,0.24
517,0.25
532,0.09
536,0.25
537,0.29
539,0.24
542,0.06
545,0.02
546,0
549,0.11
551,0.65
554,0.22
556,0.07
560,0.59
568,0.01
570,0.1
575,0.26
576,0.93
583,0.34
589,0.02
591,0
596,0
603,0.02
604,0.7
608,0.12
611,0.08
614,0.78
618,0.05
620,0.01
625,0.16
627,0.16
628,0.03
629,0.07
631,0.29
635,0.75
636,0.11
637,0.11
638,0
645,0.08
648,0.02
652,0.09
663,0.24
667,0.32
669,0.59
680,0.33
681,0.03
685,0.02
689,0.09
694,0.11
702,0.01
704,0.53
705,0.54
714,0.03
715,0.1
720,0.02
722,0.1
727,0
730,0.73
736,0.2
741,0.01
743,0.01
746,0
751,0.03
752,0.76
754,0.02
769,0.31
774,0.03
777,0.1
781,0.49
784,0.39
791,0.35
792,0.28
795,0.06
807,0.33
810,0.4
821,0.4
828,0.63
829,0.18
831,0.22
833,0
834,0.11
835,0.02
837,0.86
838,0.12
846,0.14
850,0.82
853,0.16
855,0.16
860,0.01
861,0.01
863,0.8
866,0.07
869,0.11
870,0.09
871,0.12
872,0
874,0.05
876,0.1
882,0.06
896,0.07
897,0.49
901,0.18
902,0.17
904,0.43
914,0.05
916,0.33
917,0.07
920,0.09
924,0.21
930,0.22
935,0.06
942,0.13
945,0.06
961,0.28
967,0.17
970,0
972,0.01
973,0.76
974,0.1
977,0.59
981,0.01
988,0.94
990,0.72
992,0.36
996,0.07
1013,0.08
1025,0.03
1026,0.38
1027,0.03
1032,0.17
1034,0
1036,0.82
1038,0.51
1040,0.49
1043,0.05
1050,0.05
1053,0.1
1057,0.15
1062,0.06
1064,0.07
1066,0.02
1070,0.14
1072,0.12
1076,0.01
1079,0.22
1084,0.41
1090,0
1091,0
1093,0.15
1100,0.1
1106,0.49
1109,0.31
1111,0.49
1119,0.53
1125,0.1
1128,0.07
1129,0.16
1132,0.13
1133,0.59
1134,0.6
1137,0.1
1141,0.25
1144,0.34
1154,0.01
1155,0.61
1156,0.06
1167,0.17
1176,0.64
1177,0.02
1186,0.17
1188,0.24
1189,0.05
1197,0.12
1199,0.03
1202,0.05
1203,0.07
1209,0.08
1213,0.1
1220,0.08
1222,0.25
1230,0.3
1232,0.22
1235,0.04
1238,0.04
1242,0.64
1246,0.73
1248,0.17
1253,0.04
1259,0.24
1271,0.96
1276,0.12
1277,0.02
1280,0.33
1282,0.18
1283,0.09
1285,0
1287,0.02
1288,0.21
1291,0.02
1293,0.14
1299,0.05
1310,0
1312,0.93
1314,0
1315,0.4
1316,0.14
1327,0.2
1329,0.19
1342,0.03
1346,0.41
1348,0.1
1356,0.01
1357,0.04
1370,0.13
1388,0.43
1392,0.03
1396,0.23
1400,0.18
1402,0.71
1415,0.05
1431,0.05
1433,0.76
1434,0.27
1447,0.1
1450,0.06
1454,0.35
1470,0.24
1471,0.13
1472,0.03
1474,0.19
1475,0.16
1482,0.15
1483,0.03
1484,0.18
1485,0.03
1488,0.06
1491,0.24
1493,0.79
1494,0.04
1497,0.77
1498,0.35
1524,0.73
1529,0.34
1530,0.33
1532,0.19
1536,0.18
1538,0.62
1548,0.07
1554,0.44
1556,0.06
1573,0.12
1580,0.07
1581,0.04
1582,0.04
1584,0.81
1593,0.01
1594,0.04
1596,0.22
1598,0.11
1605,0.05
1612,0.19
1615,0.17
1621,0.2
1627,0.02
1631,0.01
1632,0.16
1635,0.2
1637,0.19
1642,0.87
1643,0.3
1645,0.74
1646,0.03
1655,0.05
1657,0.06
1658,0
1671,0
1675,0.04
1678,0.08
1679,0.38
1683,0.07
1690,0.19
1695,0.04
1696,0.13
1697,0.38
1705,0.07
1707,0.82
1710,0
1711,0.05
1724,0.05
1730,0.25
1732,0
1735,0.05
1738,0.43
1740,0.3
1741,0.06
1746,0.03
1751,0.24
1753,0.09
1754,0.13
1762,0.05
1763,0.02
1765,0.64
1766,0.03
1771,0.16
1775,0.72
1783,0.11
1786,0.19
1787,0.66
1791,0.1
1796,0.37
1799,0.06
1801,0.09
1802,0.2
1803,0.26
1807,0.16
1808,0
1812,0.04
1813,0.1
1814,0.92
1818,0.09
1821,0.33
1825,0.24
1826,0
1833,0
1836,0.74
1839,0.04
1846,0.5
1848,0.34
1849,0.05
1853,0.02
1854,0.1
1855,0.08
1858,0.01
1864,0.01
1868,0.33
1870,0.71
1871,0.12
1879,0.12
1882,0.56
1887,0
1891,0.03
1899,0.01
1901,0.14
1912,0.17
1914,0.27
1915,0.15
